Encino,16.6,Pino ,12.6
Encino,16.8,Pino ,14.4
Encino,17.2,Pino ,12.6
Encino,17.6,Pino ,12
Encino,17.2,Pino ,13.2
Encino,18.6,Pino ,13.2
Encino,18.4,Pino ,12.2
Encino,17.6,Pino ,12.2
Encino,16.6,Pino ,12.2
Encino,16.6,Pino ,12.2
Encino,18.2,Pino ,13
Encino,17.2,Pino ,11.6
Encino,16.2,Pino ,13.2
Encino,17,Pino ,11.8
Encino,17,Pino ,12.8
Encino,18.6,Pino ,13.8
Encino,17.6,Pino ,12.2
Encino,17.2,Pino ,12.2
Encino,16.6,Pino ,11.8
Encino,18.4,Pino ,12.8
Encino,16.4,Pino ,12.8
Encino,17.2,Pino ,12.4
Encino,18.6,Pino ,12.8
Encino,17.8,Pino ,13.4
Encino,17.6,Pino ,12.4
Encino,18,Pino ,11.8
Encino,17.4,Pino ,11
Encino,19,Pino ,12.6
Encino,17.4,Pino ,17.2
Encino,17.2,Pino ,12
